stdio    D C:\LIBS5302Build\A5211\allegro\src\file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Zach\Documents\GitHub\adventure\adventure\bin\Debug\allegro5.cfg r
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03937] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03940] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03943] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03947] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03950] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03954] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03957] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03961] Single Buffer requirement not met.
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1669 d3d_create_display_internals     [   0.03967] Trying format 0.
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.04044] Chose a display format: 23
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.04055] Normal window.
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:781  d3d_create_device                [   0.08576] Using no depth stencil buffer
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:839  d3d_create_device                [   0.11773] BeginScene succeeded in create_device
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:847  d3d_create_device                [   0.11785] Success
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1692 d3d_create_display_internals     [   0.11794] Resumed after wait.
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1725 d3d_create_display_internals     [   0.11806] Format 0 succeeded.
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1756 d3d_create_display_internals     [   0.11821] Returning d3d_display: 010DDBC8
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1781 d3d_create_display_locked        [   0.11828] al_display=010DDBC8
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1782 d3d_create_display_locked        [   0.11833] al_display->vt=010DDB10
system   D C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.11957] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.12564] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.12815] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I C:\LIBS5302Build\A5211\allegro\src\win\d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.12832] Module "d3dx9_43.dll" loaded.
dtor     D C:\LIBS5302Build\A5211\allegro\src\dtor.c:196  _al_register_destructor          [   0.12871] added dtor for queue 010DEBD8, func 00403A17
